"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut"
"Saint-Colomban-des-Villards";"Elem";"ce.0730553e@ac-grenoble.fr";"73130";"Ecole élémentaire";"Savoie";"Lieu-Dit Le Hameau Lachenal";"Public"
"Saint François Longchamp";"Elem";"ce.0730556h@ac-grenoble.fr";"73130";"Ecole élémentaire Le Planet";"Savoie";"Lieu-Dit Le Planet";"Public"
"Feissons-sur-Salins";"Elem";"ce.0730568w@ac-grenoble.fr";"73350";"Ecole élémentaire";"Savoie";"Lieu-Dit Chef Lieu";"Public"
"Ugine";"Mater";"ce.0730621d@ac-grenoble.fr";"73400";"Ecole maternelle André Pringolliet";"Savoie";"1019 Avenue André Pringolliet";"Public"
"Saint-Nicolas-la-Chapelle";"Elem";"ce.0730642b@ac-grenoble.fr";"73590";"Ecole élémentaire";"Savoie";"Lieu-Dit Chef Lieu";"Public"
"La Plagne Tarentaise";"Elem";"ce.0730647g@ac-grenoble.fr";"73210";"Ecole élémentaire Montchavin";"Savoie";"6 Chemin Du Paradisio, Bellentre";"Public"
"Aime-la-Plagne";"Elem";"ce.0730652m@ac-grenoble.fr";"73210";"Ecole élémentaire";"Savoie";"Place Chef-Lieu, Granier";"Public"
"Les Chapelles";"Elem";"ce.0730668e@ac-grenoble.fr";"73700";"Ecole primaire";"Savoie";"501 Route De Mont Carmel";"Public"
"Bourg-Saint-Maurice";"Elem";"ce.0730671h@ac-grenoble.fr";"73700";"Ecole primaire Hauteville gondon";"Savoie";"Lieu-Dit Hauteville Gondon";"Public"
"La Plagne Tarentaise";"Elem";"ce.0730708y@ac-grenoble.fr";"73210";"Ecole élémentaire";"Savoie";"Lieu-Dit Valezan";"Public"
"Villargondran";"Elem";"ce.0730730x@ac-grenoble.fr";"73300";"Ecole primaire Les Resses";"Savoie";"Lieu-Dit Les Nouvelles Resses";"Public"
"Saint-Michel-de-Maurienne";"Mater";"ce.0730732z@ac-grenoble.fr";"73140";"Ecole maternelle Le Centre";"Savoie";"4 Rue Des Ecoles";"Public"
"Chambéry";"Mater";"ce.0730826b@ac-grenoble.fr";"73000";"Ecole maternelle de Chantemerle";"Savoie";"142 Chemin Des Gentianes";"Public"
"Chambéry";"Mater";"ce.0730830f@ac-grenoble.fr";"73000";"Ecole maternelle des Combes";"Savoie";"20 Rue Du Pré De L'Ane";"Public"
"Chambéry";"Elem";"ce.0730843v@ac-grenoble.fr";"73000";"Ecole primaire privée catholique le Bocage";"Savoie";"76 Rue Plaisance";"Privé"
"Chambéry";"Mater";"ce.0730861p@ac-grenoble.fr";"73000";"Ecole maternelle la Grenouillère";"Savoie";"814 Rue Du Pré De L'Ane";"Public"
"Saint-Alban-Leysse";"Elem";"ce.0730921e@ac-grenoble.fr";"73230";"Ecole primaire privée Notre-Dame de la Salette";"Savoie";"119 Impasse De La Salette";"Privé"
"Aime-la-Plagne";"Elem";"ce.0730945f@ac-grenoble.fr";"73210";"Ecole primaire privée le Pavillon";"Savoie";"455 Rue Du Prince";"Privé"
"Albertville";"Mater";"ce.0730953p@ac-grenoble.fr";"73200";"Ecole maternelle Saint Sigismond";"Savoie";"156 Rue Suarez";"Public"
"Chambéry";"Mater";"ce.0730956t@ac-grenoble.fr";"73000";"Ecole maternelle la Pommeraie";"Savoie";"294 Rue De Champagne";"Public"
"La Motte-Servolex";"Elem";"ce.0730969g@ac-grenoble.fr";"73290";"Ecole élémentaire Lamartine";"Savoie";"150 Avenue Charles Albert";"Public"
"Jongieux";"Elem";"ce.0730972k@ac-grenoble.fr";"73170";"Ecole élémentaire";"Savoie";"940 Route De La Charvaz, Aimavigne";"Public"
"Curienne";"Elem";"ce.0730973l@ac-grenoble.fr";"73190";"Ecole élémentaire";"Savoie";"Lieu-Dit Chef Lieu";"Public"
"Saint-Pierre-d'Entremont";"Elem";"ce.0730974m@ac-grenoble.fr";"73670";"Ecole primaire";"Savoie";"Lieu-Dit Le Bourg";"Public"
"La Plagne Tarentaise";"Elem";"ce.0730975n@ac-grenoble.fr";"73210";"Ecole primaire Le Villard";"Savoie";"Route Le Villard, La Cote D Aime";"Public"
"Val-Cenis";"Mater";"ce.0730979t@ac-grenoble.fr";"73500";"Ecole maternelle TERMIGNON";"Savoie";"Lieu-Dit Chef Lieu";"Public"
"Apremont";"Elem";"ce.0730992g@ac-grenoble.fr";"73190";"Ecole primaire";"Savoie";"Lieu-Dit Le Gaz";"Public"
"Entrelacs";"Elem";"ce.0731015g@ac-grenoble.fr";"73410";"Ecole primaire publique Les Allobroges";"Savoie";"360 Rue Du 8 Mai 1945";"Public"
"Le Bourget-du-Lac";"Elem";"ce.0731018k@ac-grenoble.fr";"73370";"Ecole élémentaire le Chat perché";"Savoie";"Rue Des Ecoles";"Public"
"Saint-André";"Mater";"ce.0731023r@ac-grenoble.fr";"73500";"Ecole maternelle La Praz";"Savoie";"Lieu-Dit La Praz";"Public"
"La Bridoire";"Elem";"ce.0731035d@ac-grenoble.fr";"73520";"Ecole primaire";"Savoie";"115 Route De L'Ecole, Le Village";"Public"
"Montmélian";"Mater";"ce.0731048t@ac-grenoble.fr";"73800";"Ecole maternelle Jean Rostand";"Savoie";"Rue Edouard Daladier";"Public"
"Val-d'Isère";"Mater";"ce.0731051w@ac-grenoble.fr";"73150";"Ecole maternelle Samivel";"Savoie";"Route De La Balme";"Public"
"Séez";"Mater";"ce.0731070s@ac-grenoble.fr";"73700";"Ecole maternelle les petits pas";"Savoie";"278 Route Du Petit Saint-Bernard";"Public"
"Tignes";"Mater";"ce.0731074w@ac-grenoble.fr";"73320";"Ecole maternelle Michel Barrault";"Savoie";"Montée Du Rosset, Le Lac";"Public"
"Chambéry";"Elem";"ce.0731083f@ac-grenoble.fr";"73000";"Ecole élémentaire publique Simone Veil";"Savoie";"Rue Greyfié De Bellecombe";"Public"
"Grand-Aigueblanche";"Elem";"ce.0731104d@ac-grenoble.fr";"73260";"Ecole élémentaire Bellecombe Tarentaise";"Savoie";"410 Place Saint-Marcel, Aigueblanche";"Public"
"Val-d'Arc";"Mater";"ce.0731108h@ac-grenoble.fr";"73220";"Ecole maternelle du Parc";"Savoie";"Château Rochette, Aiguebelle";"Public"
"Saint-Marcel";"Elem";"ce.0731141u@ac-grenoble.fr";"73600";"Ecole primaire publique du Chat Perché";"Savoie";"Place Du 8 Mai 1945, Pombliere";"Public"
"La Motte-Servolex";"Elem";"ce.0731147a@ac-grenoble.fr";"73290";"Ecole élémentaire du Picolet";"Savoie";"117 Chemin Du Picolet";"Public"
"Courchevel";"Mater";"ce.0731154h@ac-grenoble.fr";"73120";"Ecole maternelle Le Praz";"Savoie";"Le Praz";"Public"
"Voglans";"Mater";"ce.0731157l@ac-grenoble.fr";"73420";"Ecole maternelle";"Savoie";"Chemin De Sonnaz";"Public"
"Chambéry";"Elem";"ce.0731160p@ac-grenoble.fr";"73000";"Ecole primaire Jacques Prévert";"Savoie";"200 Allée Jacques Prévert, Bissy";"Public"
"Barberaz";"Elem";"ce.0731161r@ac-grenoble.fr";"73000";"Ecole élémentaire de la Concorde";"Savoie";"10 Rue De La Concorde";"Public"
"Mercury";"Mater";"ce.0731208s@ac-grenoble.fr";"73200";"Ecole maternelle Joseph Trolliet";"Savoie";"980 Route De Chevron";"Public"
"Bozel";"Mater";"ce.0731212w@ac-grenoble.fr";"73350";"Ecole maternelle";"Savoie";"58 Rue Des Ecoles";"Public"
"La Ravoire";"Elem";"ce.0731219d@ac-grenoble.fr";"73490";"Ecole élémentaire Pré hibou";"Savoie";"Rue Du Pré Hibou";"Public"
"La Ravoire";"Elem";"ce.0731221f@ac-grenoble.fr";"73490";"Ecole primaire Vallon fleuri";"Savoie";"Rue Richelieu";"Public"
"Hauteluce";"Elem";"ce.0731242d@ac-grenoble.fr";"73620";"Ecole primaire";"Savoie";"Lieu-Dit Chef-Lieu";"Public"
"Aix-les-Bains";"Elem";"ce.0731243e@ac-grenoble.fr";"73100";"Ecole élémentaire Marlioz";"Savoie";"74 Boulevard De La Roche Du Roi";"Public"
"Notre-Dame-des-Millières";"Elem";"ce.0731262a@ac-grenoble.fr";"73460";"Ecole primaire";"Savoie";"Lieu-Dit Chef-Lieu";"Public"
"Saint-Pierre-de-Curtille";"Elem";"ce.0731263b@ac-grenoble.fr";"73310";"Ecole élémentaire";"Savoie";"Lieu-Dit Chef-Lieu";"Public"
"Aix-les-Bains";"Elem";"ce.0731281w@ac-grenoble.fr";"73100";"Ecole élémentaire Choudy";"Savoie";"78 Boulevard Pierpont Morgan";"Public"
"Val-d'Isère";"Elem";"ce.0731283y@ac-grenoble.fr";"73150";"Ecole élémentaire";"Savoie";"Route De La Balme";"Public"
"Novalaise";"Elem";"ce.0731311d@ac-grenoble.fr";"73470";"ECOLE PRIMAIRE PUBLIQUE";"Savoie";"30 Route Du Bief Du Moulin";"Public"
"Aime-la-Plagne";"Elem";"ce.0731313f@ac-grenoble.fr";"73210";"Ecole élémentaire Pierre Borrione";"Savoie";"271 Rue Du Prince";"Public"
"Val-d'Arc";"Elem";"ce.0731314g@ac-grenoble.fr";"73220";"Ecole primaire";"Savoie";"Place De La Mairie, Randens";"Public"
"Courchevel";"Elem";"ce.0731328x@ac-grenoble.fr";"73120";"Ecole élémentaire Le Praz";"Savoie";"Le Praz";"Public"
"Grignon";"Elem";"ce.0731329y@ac-grenoble.fr";"73200";"Ecole élémentaire";"Savoie";"90 Rue Des Ecoles";"Public"
"Saint-Michel-de-Maurienne";"Elem";"ce.0731330z@ac-grenoble.fr";"73140";"Ecole élémentaire";"Savoie";"Avenue De La République";"Public"
"Tours-en-Savoie";"Elem";"ce.0731345r@ac-grenoble.fr";"73790";"Ecole primaire";"Savoie";"50 Montée Des Ecoles";"Public"
"Villaroger";"Elem";"ce.0731346s@ac-grenoble.fr";"73640";"Ecole élémentaire La Gurraz";"Savoie";"Lieu-Dit La Gurraz";"Public"
"Valmeinier";"Elem";"ce.0731350w@ac-grenoble.fr";"73450";"Ecole primaire";"Savoie";"Lieu-Dit Entre Deux Villes, 1067 Rue Du Gros Crey";"Public"
"La Plagne Tarentaise";"Elem";"ce.0731358e@ac-grenoble.fr";"73210";"Ecole primaire Albert Perrière";"Savoie";"Rue Albert Perriere Macot";"Public"
"Saint-Jean-de-Maurienne";"Elem";"ce.0731366n@ac-grenoble.fr";"73300";"Ecole élémentaire Les Clapeys";"Savoie";"Avenue Samuel Pasquier";"Public"
"Modane";"Elem";"ce.0731401b@ac-grenoble.fr";"73500";"Ecole élémentaire Jules Ferry";"Savoie";"105 Rue Des Ecoles";"Public"
"Montagny";"Elem";"ce.0731430h@ac-grenoble.fr";"73350";"Ecole primaire Pierre Béroud";"Savoie";"Lieu-Dit Chef-Lieu";"Public"
"Challes-les-Eaux";"Elem";"ecoledes4saisons@steiner-waldorf.org";"73190";"Ecole primaire privée";"Savoie";"441  Chemin Des Baraques";"Privé"
"Le Reposoir";"Elem";"ce.0740167e@ac-grenoble.fr";"74950";"Ecole primaire publique Pralong LE REPOSOIR";"Haute-Savoie";"48 Chemin De Fréchet, Pralong";"Public"
"Scionzier";"Mater";"ce.0740172k@ac-grenoble.fr";"74950";"Ecole maternelle publique Du Cretet SCIONZIER";"Haute-Savoie";"2 Rue Du Crétet";"Public"
"La Vernaz";"Elem";"ce.0740174m@ac-grenoble.fr";"74200";"Ecole primaire publique LA VERNAZ";"Haute-Savoie";"Chef Lieu";"Public"
"Boëge";"Elem";"ce.0740177r@ac-grenoble.fr";"74420";"Ecole élémentaire publique BOEGE";"Haute-Savoie";"46 Rue De La Menoge";"Public"
"Fessy";"Elem";"ce.0740221n@ac-grenoble.fr";"74890";"Ecole élémentaire publique Bernard Lacroix FESSY";"Haute-Savoie";"236 Rue De L'Eglise";"Public"
"Bernex";"Elem";"ce.0740239h@ac-grenoble.fr";"74500";"Ecole primaire publique BERNEX";"Haute-Savoie";"688 Route Du Télésiège, Langin";"Public"
"Annecy";"Elem";"ce.0740297w@ac-grenoble.fr";"74000";"Ecole primaire privée La Salle Sainte Marie ANNECY";"Haute-Savoie";"34 Rue Des Alpins";"Privé"
"Marnaz";"Mater";"ce.0740365v@ac-grenoble.fr";"74460";"Ecole maternelle publique MARNAZ";"Haute-Savoie";"13 Avenue De La Libération";"Public"
"Nancy-sur-Cluses";"Elem";"ce.0740366w@ac-grenoble.fr";"74300";"Ecole élémentaire publique NANCY SUR CLUSES";"Haute-Savoie";"219 Rue De La Mairie";"Public"
"Val de Chaise";"Elem";"ce.0740380l@ac-grenoble.fr";"74210";"Ecole primaire publique Marlens VAL-DE-CHAISE";"Haute-Savoie";"Rue De La République";"Public"
"Annecy";"Elem";"ce.0740408s@ac-grenoble.fr";"74600";"Ecole primaire publique Balmont Seynod ANNECY";"Haute-Savoie";"49 Route De Balmont, Seynod";"Public"
"Chapeiry";"Elem";"ce.0740410u@ac-grenoble.fr";"74540";"Ecole primaire publique CHAPEIRY";"Haute-Savoie";"49 Chemin Des Ecoliers";"Public"
"Gruffy";"Elem";"ce.0740413x@ac-grenoble.fr";"74540";"Ecole élémentaire publique Georges Duffaud GRUFFY";"Haute-Savoie";"Chef Lieu";"Public"
"Mûres";"Elem";"ce.0740415z@ac-grenoble.fr";"74540";"Ecole élémentaire publique Jacques Prévert MURES";"Haute-Savoie";"Chef Lieu";"Public"
"Saint-Sylvestre";"Elem";"ce.0740417b@ac-grenoble.fr";"74540";"Ecole élémentaire publique ST SYLVESTRE";"Haute-Savoie";"Chef Lieu";"Public"
"Viuz-la-Chiésaz";"Elem";"ce.0740418c@ac-grenoble.fr";"74540";"Ecole primaire publique VIUZ-LA-CHIESAZ";"Haute-Savoie";"Chef Lieu";"Public"
"Argonay";"Elem";"ce.0740430r@ac-grenoble.fr";"74370";"Ecole élémentaire publique ARGONAY";"Haute-Savoie";"90 Route De L'Avenir";"Public"
"Epagny Metz-Tessy";"Elem";"ce.0740442d@ac-grenoble.fr";"74330";"Ecole primaire publique La Tuilerie Epagny EPAGNY-METZ TESSY";"Haute-Savoie";"Rue De La Tuilerie, Epagny";"Public"
"Menthon-Saint-Bernard";"Elem";"ce.0740444f@ac-grenoble.fr";"74290";"Ecole primaire publique Clos Chevalier MENTHON ST BERNARD";"Haute-Savoie";"170 Route Des Côtes";"Public"
"Chavanod";"Elem";"ce.0740488d@ac-grenoble.fr";"74650";"Ecole primaire publique CHAVANOD";"Haute-Savoie";"43 Route Du Crêt D'Esty";"Public"
"Annecy";"Mater";"ce.0740491g@ac-grenoble.fr";"74960";"Ecole maternelle publique l'Arlequin Cran-Gevrier ANNECY";"Haute-Savoie";"8 Rue Claudius Chappaz, Cran Gevrier";"Public"
"Annemasse";"Mater";"ce.0740529y@ac-grenoble.fr";"74100";"ECOLE MATERNELLE PUBLIQUE";"Haute-Savoie";"14 Rue Du18 Août";"Public"
"Ville-la-Grand";"Mater";"ce.0740557d@ac-grenoble.fr";"74100";"Ecole maternelle publique Les Pottières VILLE-LA-GRAND";"Haute-Savoie";"3 Rue De La Pottière";"Public"
"Bonneville";"Mater";"ce.0740573w@ac-grenoble.fr";"74130";"Ecole maternelle publique Bois Jolivet BONNEVILLE";"Haute-Savoie";"469 Rue D'Andey";"Public"
"Bonneville";"Elem";"ce.0740577a@ac-grenoble.fr";"74130";"Ecole primaire publique Pontchy Dessy BONNEVILLE";"Haute-Savoie";"515 Avenue De Pontchy";"Public"
"Saint-Gervais-les-Bains";"Elem";"ce.0740611m@ac-grenoble.fr";"74170";"Ecole primaire publique Le Fayet ST GERVAIS LES BAINS";"Haute-Savoie";"422 Avenue De Genève, Le Fayet";"Public"
"Passy";"Elem";"ce.0740622z@ac-grenoble.fr";"74190";"Ecole primaire publique L'Abbaye PASSY";"Haute-Savoie";"62 Rue Du Lycée, Le Fayet";"Public"
"Viuz-en-Sallaz";"Elem";"ce.0740651f@ac-grenoble.fr";"74250";"Ecole élémentaire publique Boisinges VIUZ-EN-SALLAZ";"Haute-Savoie";"20 Allée Des Ecoliers, Boisinges";"Public"
"Pers-Jussy";"Elem";"ce.0740658n@ac-grenoble.fr";"74930";"Ecole élémentaire publique Les Roguets PERS JUSSY";"Haute-Savoie";"2715 Route De La Chapelle Rambaud, Les Roguets";"Public"
"La Roche-sur-Foron";"Elem";"ce.0740661s@ac-grenoble.fr";"74800";"Ecole élémentaire publique Mallinjoud LA ROCHE SUR FORON";"Haute-Savoie";"49 Rue De La Gare";"Public"
"La Roche-sur-Foron";"Mater";"ce.0740662t@ac-grenoble.fr";"74800";"Ecole maternelle publique Vaulet LA ROCHE SUR FORON";"Haute-Savoie";"123 Rue Bernard Vaulet";"Public"
"Rumilly";"Mater";"ce.0740686u@ac-grenoble.fr";"74150";"Ecole maternelle publique Centre RUMILLY";"Haute-Savoie";"2 Rue Pierre Salteur";"Public"
"Boussy";"Elem";"ce.0740690y@ac-grenoble.fr";"74150";"Ecole élémentaire publique BOUSSY";"Haute-Savoie";"Chef Lieu";"Public"
"Saint-Julien-en-Genevois";"Elem";"ce.0740706r@ac-grenoble.fr";"74160";"Ecole élémentaire publique Thairy ST JULIEN EN GENEVOIS";"Haute-Savoie";"33 Rue Louis Martel";"Public"
"Chênex";"Elem";"ce.0740715a@ac-grenoble.fr";"74520";"Ecole primaire publique CHENEX";"Haute-Savoie";"87 Route De L'Eglise";"Public"
"Collonges-sous-Salève";"Elem";"ce.0740717c@ac-grenoble.fr";"74160";"Ecole primaire publique Charles Perrault COLLONGES SOUS SALEVE";"Haute-Savoie";"Route De Bossey";"Public"
"Feigères";"Elem";"ce.0740722h@ac-grenoble.fr";"74160";"Ecole primaire publique Edouard Vuagnat FEIGERES";"Haute-Savoie";"250 Chemin De L'Ecole";"Public"
"Savigny";"Elem";"ce.0740727n@ac-grenoble.fr";"74520";"Ecole primaire publique SAVIGNY";"Haute-Savoie";"Chef Lieu";"Public"
"Combloux";"Elem";"ce.0740739b@ac-grenoble.fr";"74920";"Ecole primaire publique COMBLOUX";"Haute-Savoie";"132 Route De La Mairie";"Public"
"Morillon";"Elem";"ce.0740759y@ac-grenoble.fr";"74440";"Ecole primaire publique Annie Bettex MORILLON";"Haute-Savoie";"5 Place De La Mairie, Chef Lieu";"Public"
"Mieussy";"Elem";"ce.0740785b@ac-grenoble.fr";"74440";"Ecole primaire publique Justinien Raymond MIEUSSY";"Haute-Savoie";"200 Rue Des Ecoles";"Public"
"Thonon-les-Bains";"Mater";"ce.0740806z@ac-grenoble.fr";"74200";"Ecole maternelle publique La Source THONON-LES-BAINS";"Haute-Savoie";"Avenue De Senevulaz";"Public"
"Thônes";"Elem";"ce.0740833d@ac-grenoble.fr";"74230";"Ecole élémentaire publique De Glapigny THONES";"Haute-Savoie";"Route De Glapigny";"Public"
"Thônes";"Elem";"ce.0740835f@ac-grenoble.fr";"74230";"Ecole élémentaire publique De La Vacherie THONES";"Haute-Savoie";"4 Rue Du Père François Avrillon, La Vacherie";"Public"
"Le Grand-Bornand";"Elem";"ce.0740841m@ac-grenoble.fr";"74450";"Ecole primaire publique LA PLACE LE GRAND BORNAND";"Haute-Savoie";"20 Impasse Du Bargy, Le Chinaillon";"Public"
"Serraval";"Elem";"ce.0740843p@ac-grenoble.fr";"74230";"Ecole primaire publique SERRAVAL";"Haute-Savoie";"Chef Lieu";"Public"
"Allinges";"Elem";"ce.0740862k@ac-grenoble.fr";"74200";"Ecole primaire publique Joseph Dessaix ALLINGES";"Haute-Savoie";"80 Rue Des Marmousets";"Public"
"Cervens";"Elem";"ce.0740868s@ac-grenoble.fr";"74550";"Ecole élémentaire publique Albert Boccagny CERVENS";"Haute-Savoie";"Chef Lieu";"Public"
"Lullin";"Elem";"ce.0740870u@ac-grenoble.fr";"74470";"Ecole élémentaire publique LULLIN";"Haute-Savoie";"Chef Lieu";"Public"
"Reyvroz";"Elem";"ce.0740880e@ac-grenoble.fr";"74200";"Ecole élémentaire publique REYVROZ";"Haute-Savoie";"1173 Route De Thonon";"Public"
"Groisy";"Elem";"ce.0740899a@ac-grenoble.fr";"74570";"Ecole primaire publique Le Chamois  GROISY";"Haute-Savoie";"233 Chemin De Belle-Vue";"Public"
"Villaz";"Elem";"ce.0740904f@ac-grenoble.fr";"74370";"Ecole primaire publique VILLAZ";"Haute-Savoie";"79 Avenue De Bonatrait";"Public"
"Douvaine";"Elem";"ce.0740939u@ac-grenoble.fr";"74140";"Ecole élémentaire publique DOUVAINE";"Haute-Savoie";"Chemin De Voinier";"Public"
"Thonon-les-Bains";"Elem";"ce.0740943y@ac-grenoble.fr";"74200";"Ecole primaire publique Jules Ferry THONON-LES-BAINS";"Haute-Savoie";"20 Boulevard Jules Ferry";"Public"
"Annecy";"Elem";"ce.0740944z@ac-grenoble.fr";"74000";"Ecole primaire privée Les Tilleuls ANNECY";"Haute-Savoie";"60 Avenue Gambetta";"Privé"
"Annemasse";"Elem";"ce.0741007t@ac-grenoble.fr";"74100";"Ecole primaire privée La Chamarette ANNEMASSE";"Haute-Savoie";"1 Impasse De La Chamarette";"Privé"
"Abondance";"Elem";"ce.0741013z@ac-grenoble.fr";"74360";"Ecole primaire privée Saint Maurice ABONDANCE";"Haute-Savoie";"32 Route De Charmy L'Adroit";"Privé"
"Evian-les-Bains";"Elem";"ce.0741024l@ac-grenoble.fr";"74500";"Ecole primaire privée Saint Bruno EVIAN";"Haute-Savoie";"6 Avenue Des Vallées";"Privé"
"Samoëns";"Elem";"ce.0741056w@ac-grenoble.fr";"74340";"Ecole primaire privée de l'Assomption SAMOENS";"Haute-Savoie";"27 Chemin De La Cour, Le Bourg";"Privé"
"Evian-les-Bains";"Elem";"ce.0741077u@ac-grenoble.fr";"74500";"Ecole élémentaire publique Centre EVIAN LES BAINS";"Haute-Savoie";"Rue Commandant Madelaine";"Public"
"Poisy";"Elem";"ce.0741083a@ac-grenoble.fr";"74330";"Ecole primaire publique Chef Lieu POISY";"Haute-Savoie";"86 Route D'Annecy";"Public"
"Annecy";"Elem";"ce.0741109d@ac-grenoble.fr";"74600";"Ecole primaire publique Barral Seynod ANNECY";"Haute-Savoie";"Rue De L'Orme, Seynod";"Public"
"Reignier-Esery";"Elem";"ce.0741135g@ac-grenoble.fr";"74930";"Ecole primaire publique La Rose des Vents REIGNIER";"Haute-Savoie";"213 Rue Des Perce Neige";"Public"
"Sevrier";"Elem";"ce.0741149x@ac-grenoble.fr";"74320";"Ecole primaire publique Henri Gour SEVRIER";"Haute-Savoie";"2000 Route D'Albertville";"Public"
"Etrembières";"Elem";"ce.0741162l@ac-grenoble.fr";"74100";"Ecole primaire publique Jean-Jacques Rousseau ETREMBIERES";"Haute-Savoie";"197 Rue Des Chamois";"Public"
"Thonon-les-Bains";"Elem";"ce.0741190s@ac-grenoble.fr";"74200";"Ecole élémentaire publique Le Chatelard THONON-LES-BAINS";"Haute-Savoie";"Avenue Du Chatelard";"Public"
"Annemasse";"Elem";"ce.0741265y@ac-grenoble.fr";"74100";"Ecole primaire publique Bois Livron ANNEMASSE";"Haute-Savoie";"2 Rue Albert Curioz";"Public"
"La Balme-de-Sillingy";"Mater";"ce.0741266z@ac-grenoble.fr";"74330";"Ecole maternelle publique Le Marais LA BALME DE SILLINGY";"Haute-Savoie";"Rue Collé Umberto, Chef Lieu";"Public"
"Saint-Pierre-en-Faucigny";"Elem";"ce.0741303p@ac-grenoble.fr";"74800";"Ecole primaire publique du Centre ST-PIERRE-EN-FAUCIGNY";"Haute-Savoie";"55 Rue De L'Espérance";"Public"
"Gruffy";"Mater";"ce.0741347m@ac-grenoble.fr";"74540";"Ecole maternelle publique Intercommunale GRUFFY";"Haute-Savoie";"Chef Lieu";"Public"
"Chens-sur-Léman";"Elem";"ce.0741367j@ac-grenoble.fr";"74140";"Ecole primaire publique Le Vernet CHENS SUR LEMAN";"Haute-Savoie";"1033 Rue Du Léman";"Public"
"Ayse";"Mater";"ce.0741372p@ac-grenoble.fr";"74130";"Ecole maternelle publique Clos Chaboud AYSE";"Haute-Savoie";"129 Route De Chez Jeandet";"Public"
"Alby-sur-Chéran";"Mater";"ce.0741382a@ac-grenoble.fr";"74540";"ECOLE MATERNELLE PUBLIQUE ALBY SUR CHERAN";"Haute-Savoie";"18 Chemin Du Champ Du Poirier";"Public"
"Annecy";"Elem";"ce.0741383b@ac-grenoble.fr";"74000";"Ecole primaire publique Novel ANNECY";"Haute-Savoie";"70 Ter Avenue De France, Annecy";"Public"
"Saint-Julien-en-Genevois";"Elem";"ce.0741459j@ac-grenoble.fr";"74160";"Ecole primaire publique Puy St Martin ST JULIEN EN GENEVOIS";"Haute-Savoie";"14 Avenue Napoléon Iii";"Public"
"Vailly";"Mater";"ce.0741464p@ac-grenoble.fr";"74470";"Ecole maternelle publique Du Val d'Hermone VAILLY";"Haute-Savoie";"893 Route Du Val D'Hermone, Pimberty";"Public"
