"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut"
"Saint-Loup-Géanges";"Elem";"ce.0711889t@ac-dijon.fr";"71350";"ECOLE PRIMAIRE PUBLIQUE";"Saône-et-Loire";"12 Rue Jean Baptiste Cautin";"Public"
"Sologny";"Elem";"ce.0711910r@ac-dijon.fr";"71960";"ECOLE PRIMAIRE PUBLIQUE";"Saône-et-Loire";"2 Place De La Mairie, Le Bourg";"Public"
"Bannans";"Mater";"ce.0250158l@ac-besancon.fr";"25560";"Ecole maternelle intercommunale Vallée du Drugeon";"Doubs";"2 Rue Augustin Fauconnet";"Public"
"Besançon";"Elem";"ce.0250182m@ac-besancon.fr";"25000";"Ecole primaire Jean Boichard";"Doubs";"2 Chemin De La Chaille";"Public"
"Besançon";"Mater";"ce.0250247h@ac-besancon.fr";"25000";"Ecole maternelle Champrond";"Doubs";"23 D Quai De Strasbourg";"Public"
"Besançon";"Mater";"ce.0250254r@ac-besancon.fr";"25000";"Ecole maternelle Granvelle";"Doubs";"10  Impasse Granvelle";"Public"
"Besançon";"Mater";"ce.0250271j@ac-besancon.fr";"25000";"Ecole maternelle Albert Camus";"Doubs";"18 Rue Hugues 1Er";"Public"
"Boussières";"Elem";"ce.0250318k@ac-besancon.fr";"25320";"Ecole primaire";"Doubs";"2 Rue Du Tilleul";"Public"
"Les Bréseux";"Elem";"ce.0250322p@ac-besancon.fr";"25120";"Ecole primaire";"Doubs";"35 Rue Principale";"Public"
"Cuse-et-Adrisans";"Elem";"ce.0250406@ac-besancon.fr";"25680";"Ecole primaire René Perrot";"Doubs";"1 Rue Jean-Baptiste Patard";"Public"
"Dampierre-sur-le-Doubs";"Elem";"ce.0250414p@ac-besancon.fr";"25420";"Ecole primaire intercommunale";"Doubs";"12 Rue Des Ecoles";"Public"
"Goux-lès-Dambelin";"Elem";"ce.0250524j@ac-besancon.fr";"25150";"Ecole élémentaire";"Doubs";"6 Rue De L'Eglise";"Public"
"Val-d'Usiers";"Elem";"ce.0250525k@ac-besancon.fr";"25520";"Ecole élémentaire";"Doubs";"15 Rue Des Ecoles, Goux Les Usiers";"Public"
"Grandfontaine";"Elem";"ce.0250541c@ac-besancon.fr";"25320";"Ecole élémentaire Saint Exupery";"Doubs";"5 Rue De Torpes";"Public"
"Guyans-Vennes";"Elem";"ce.0250555t@ac-besancon.fr";"25390";"Ecole primaire";"Doubs";"2 Chemin Des Crets";"Public"
"L'Isle-sur-le-Doubs";"Elem";"ce.0250576r@ac-besancon.fr";"25250";"Ecole élémentaire Henri Bourlier";"Doubs";"20 Rue Henri Bourlier";"Public"
"Villers-le-Lac";"Mater";"ce.0250594k@ac-besancon.fr";"25130";"Ecole maternelle Centre";"Doubs";"Rue Caporal Peugeot";"Public"
"Montbéliard";"Elem";"ce.0250671u@ac-besancon.fr";"25200";"Ecole primaire Jules Grosjean";"Doubs";"1 Rue Samuel Marti";"Public"
"Montbéliard";"Mater";"ce.0250690p@ac-besancon.fr";"25200";"Ecole maternelle Combe aux Biches";"Doubs";"2 Rue Des Batteries Du Parc";"Public"
"Montfaucon";"Elem";"ce.0250704e@ac-besancon.fr";"25660";"Ecole primaire";"Doubs";"Rue De La Comtesse Henriette";"Public"
"Myon";"Elem";"ce.0250730h@ac-besancon.fr";"25440";"Ecole primaire";"Doubs";"Place Andre Oudet";"Public"
"Passavant";"Mater";"ce.0250762t@ac-besancon.fr";"25360";"Ecole maternelle";"Doubs";"4 Chemin Des Ecoles";"Public"
"Pierrefontaine-lès-Blamont";"Mater";"ce.0250767y@ac-besancon.fr";"25310";"Ecole maternelle intercommunale";"Doubs";"5 Place Du Temple";"Public"
"Plaimbois-du-Miroir";"Elem";"ce.0250772d@ac-besancon.fr";"25210";"Ecole élémentaire";"Doubs";"30 Rue Du Miroir";"Public"
"Pontarlier";"Mater";"ce.0250792a@ac-besancon.fr";"25300";"Ecole maternelle Pareuses";"Doubs";"15 Rue Des Pareuses";"Public"
"Pont-de-Roide-Vermondans";"Elem";"ce.0250796e@ac-besancon.fr";"25150";"Ecole élémentaire mixte 1";"Doubs";"15 Rue De Montbéliard";"Public"
"Pont-de-Roide-Vermondans";"Mater";"ce.0250798g@ac-besancon.fr";"25150";"Ecole maternelle Louis Pergaud";"Doubs";"Rue Des Marronniers";"Public"
"Pont-de-Roide-Vermondans";"Mater";"ce.0250800j@ac-besancon.fr";"25150";"Ecole maternelle Lilas";"Doubs";"42 Rue Du Général Herr";"Public"
"Saint-Juan";"Elem";"ce.0250855u@ac-besancon.fr";"25360";"Ecole élémentaire";"Doubs";"1 Rue De La Mairie";"Public"
"Taillecourt";"Elem";"ce.0250899s@ac-besancon.fr";"25400";"Ecole primaire";"Doubs";"17  Grande Rue";"Public"
"Vercel-Villedieu-le-Camp";"Elem";"ce.0250946t@ac-besancon.fr";"25530";"Ecole élémentaire Louis Pergaud";"Doubs";"1 Place Des Freres Poyard";"Public"
"Verrières-de-Joux";"Elem";"ce.0250955c@ac-besancon.fr";"25300";"Ecole primaire Varisienne";"Doubs";"16 Rue De Franche-Comté";"Public"
"Vuillecin";"Elem";"ce.0250984j@ac-besancon.fr";"25300";"Ecole primaire";"Doubs";"10 Bis Rue De Pontarlier";"Public"
"Montbéliard";"Mater";"ce.0251074g@ac-besancon.fr";"25200";"Ecole maternelle Petit Chenois";"Doubs";"50 A Rue De La Beuse Aux Loups";"Public"
"Pierrefontaine-les-Varans";"Mater";"ce.0251100k@ac-besancon.fr";"25510";"Ecole maternelle";"Doubs";"5 Rue Louis Pergaud";"Public"
"Besançon";"Elem";"ce.0251190h@ac-besancon.fr";"25000";"Ecole élémentaire Tristan Bernard";"Doubs";"26 Rue Tristan Bernard";"Public"
"Bethoncourt";"Mater";"ce.0251219p@ac-besancon.fr";"25200";"Ecole maternelle Louise Michel";"Doubs";"4 Impasse Parmentier";"Public"
"Pays-de-Clerval";"Elem";"ce.0251221s@ac-besancon.fr";"25340";"Ecole élémentaire";"Doubs";"29 Rue Porte De Chaux, Chaux Les Clerval";"Public"
"Guyans-Vennes";"Elem";"ce.0251250y@ac-besancon.fr";"25390";"Ecole primaire privée Sainte Marie";"Doubs";"24  Grande Rue";"Privé"
"Maîche";"Elem";"ce.0251255d@ac-besancon.fr";"25120";"Ecole primaire privée Saint Joseph";"Doubs";"31  Rue De La Batheuse";"Privé"
"Morteau";"Elem";"ce.0251259h@ac-besancon.fr";"25500";"Ecole primaire privée Sainte Jeanne d'Arc";"Doubs";"32 Rue De La Chaussée";"Privé"
"Mouthe";"Elem";"ce.0251260j@ac-besancon.fr";"25240";"Ecole primaire privée du Sacré-Coeur";"Doubs";"19 Rue Cart Broumet";"Privé"
"Pouilley-les-Vignes";"Elem";"ce.0251336s@ac-besancon.fr";"25115";"Groupe scolaire de la Lanterne";"Doubs";"49 Rue De La Pérrouse";"Public"
"Bavans";"Mater";"ce.0251343z@ac-besancon.fr";"25550";"Ecole maternelle Françoise Dolto";"Doubs";"Impasse De La Chapelle";"Public"
"Audincourt";"Mater";"ce.0251353k@ac-besancon.fr";"25400";"Ecole maternelle Jacques Prévert";"Doubs";"Rue De Franche-Comté";"Public"
"Bethoncourt";"Mater";"ce.0251368b@ac-besancon.fr";"25200";"Ecole maternelle Louis Pergaud";"Doubs";"5 Route D'Héricourt";"Public"
"Montenois";"Elem";"ce.0251382s@ac-besancon.fr";"25260";"Ecole élémentaire";"Doubs";"17 Rue D'Arcey";"Public"
"Sainte-Suzanne";"Elem";"ce.0251387x@ac-besancon.fr";"25630";"Ecole primaire les Feunus";"Doubs";"15 Rue Jean Jaurès";"Public"
"Saint-Vit";"Elem";"ce.0251392c@ac-besancon.fr";"25410";"Groupe scolaire des Prés Verts";"Doubs";"Rue Rue De La Combe Du Four";"Public"
"Bart";"Mater";"ce.0251413a@ac-besancon.fr";"25420";"Ecole maternelle du Mont-Bart";"Doubs";"Rue Du Moulin";"Public"
"Rougemont";"Mater";"ce.0251426p@ac-besancon.fr";"25680";"Ecole maternelle";"Doubs";"4 Rue Léon Belz";"Public"
"Valdahon";"Mater";"ce.0251428s@ac-besancon.fr";"25800";"Ecole maternelle Lavoisier";"Doubs";"2 Rue Lavoisier";"Public"
"Pays-de-Clerval";"Mater";"ce.0251440e@ac-besancon.fr";"25340";"Ecole maternelle";"Doubs";"2 Route De Soye, Chaux Les Clerval";"Public"
"Doubs";"Elem";"ce.0251444j@ac-besancon.fr";"25300";"Ecole élémentaire";"Doubs";"2B Rue De L'Eglise";"Public"
"Montlebon";"Mater";"ce.0251450r@ac-besancon.fr";"25500";"Ecole maternelle sur la Seigne";"Doubs";"7 Place Des Minimes";"Public"
"Montlebon";"Elem";"ce.0251451s@ac-besancon.fr";"25500";"Ecole élémentaire Sur La Seigne";"Doubs";"9 Place Des Minimes";"Public"
"Damprichard";"Mater";"ce.0251505a@ac-besancon.fr";"25450";"Ecole maternelle";"Doubs";"11 Rue Des Ecoles";"Public"
"Mathay";"Mater";"ce.0251512h@ac-besancon.fr";"25700";"Ecole maternelle";"Doubs";"28 Rue Louis Pergaud";"Public"
"Pontarlier";"Elem";"ce.0251518p@ac-besancon.fr";"25300";"Ecole primaire privée Saint Joseph";"Doubs";"3 Place Roger Salengro";"Privé"
"Grandfontaine";"Mater";"ce.0251534g@ac-besancon.fr";"25320";"Ecole maternelle Arc en Ciel";"Doubs";"Route De Torpes";"Public"
"Mandeure";"Elem";"ce.0251545u@ac-besancon.fr";"25350";"Ecole élémentaire Centre";"Doubs";"Rue De La Fontenotte";"Public"
"Pontarlier";"Elem";"ce.0251561l@ac-besancon.fr";"25300";"Ecole élémentaire Henri Cordier";"Doubs";"6 Rue Du Commandant Valentin";"Public"
"Thise";"Elem";"ce.0251576c@ac-besancon.fr";"25220";"Ecole élémentaire";"Doubs";"34 Rue De Besançon";"Public"
"Montbéliard";"Mater";"ce.0251577d@ac-besancon.fr";"25200";"Ecole maternelle Jean Zay";"Doubs";"Rue Jean Zay";"Public"
"Audincourt";"Mater";"ce.0251610p@ac-besancon.fr";"25400";"Ecole maternelle Forges";"Doubs";"1 Avenue Joessel";"Public"
"Franois";"Elem";"ce.0251619z@ac-besancon.fr";"25770";"Ecole élémentaire au Clousey";"Doubs";"4 Chemin Du Chaney";"Public"
"Novillars";"Elem";"ce.0251646d@ac-besancon.fr";"25220";"Ecole primaire";"Doubs";"Place Du 11 Novembre";"Public"
"Besançon";"Mater";"ce.0251655n@ac-besancon.fr";"25000";"Ecole maternelle André Boulloche";"Doubs";"5 Rue Boulloche";"Public"
"Arcey";"Elem";"ce.0251658s@ac-besancon.fr";"25750";"Ecole primaire publique des 20 coeurs";"Doubs";"Rue Charles De Gaulle";"Public"
"Besançon";"Elem";"ce.0251662w@ac-besancon.fr";"25000";"Ecole élémentaire Edouard Herriot";"Doubs";"4 Chemin Du Barlot";"Public"
"Montbéliard";"Elem";"ce.0251667b@ac-besancon.fr";"25200";"Ecole élémentaire Prairie";"Doubs";"14 Avenue Maréchal Joffre";"Public"
"Montenois";"Mater";"ce.0251682t@ac-besancon.fr";"25260";"Ecole maternelle";"Doubs";"6 Grande Rue";"Public"
"Besançon";"Elem";"ce.0251685w@ac-besancon.fr";"25000";"Ecole élémentaire Fontaine Ecu";"Doubs";"28 Rue De Fontaine Ecu";"Public"
"Besançon";"Elem";"ce.0251694f@ac-besancon.fr";"25000";"Ecole primaire Jean Zay";"Doubs";"97 Rue Des Cras";"Public"
"Damprichard";"Elem";"ce.0251720j@ac-besancon.fr";"25450";"Ecole élémentaire";"Doubs";"3 Rue Du Cotard";"Public"
"Besançon";"Elem";"ce.0251722l@ac-besancon.fr";"25000";"Ecole élémentaire Paul Bert";"Doubs";"9 Rue Lanchy";"Public"
"Pirey";"Mater";"ce.0251738d@ac-besancon.fr";"25480";"Ecole maternelle";"Doubs";"Route Saint-Martin";"Public"
"Valentigney";"Elem";"ce.0251751t@ac-besancon.fr";"25700";"Ecole élémentaire Pierre Donzelot";"Doubs";"1 Rue Louis Pergaud";"Public"
"Châtillon-le-Duc";"Mater";"ce.0251767k@ac-besancon.fr";"25870";"Ecole maternelle Bellevue";"Doubs";"7 Rue Dame Blanche";"Public"
"Roches-lès-Blamont";"Elem";"ce.0251782b@ac-besancon.fr";"25310";"Ecole élémentaire intercommunale";"Doubs";"Place Victor Hugo";"Public"
"Pays-de-Montbenoît";"Elem";"ce.0251784d@ac-besancon.fr";"25650";"Ecole primaire du Pays-de-Montbenoit";"Doubs";"2 Route De Montbenoit";"Public"
"Vellevans";"Elem";"ce.0251819s@ac-besancon.fr";"25430";"Ecole primaire intercommunale";"Doubs";"47 Grande Rue";"Public"
"Ornans";"Mater";"ce.0251877e@ac-besancon.fr";"25290";"Ecole maternelle";"Doubs";"2 Allée Du Parc Piffard";"Public"
"Arpenans";"Mater";"ce.0700122c@ac-besancon.fr";"70200";"Ecole maternelle";"Haute-Saône";"78 A Rue Saint-Valère";"Public"
"Athesans-Etroitefontaine";"Elem";"ce.0700123d@ac-besancon.fr";"70110";"POLE EDUCATIF";"Haute-Saône";"11 Rue De L'Eglise";"Public"
"Bougnon";"Mater";"ce.0700168c@ac-besancon.fr";"70170";"ECOLE MATERNELLE PUBLIQUE";"Haute-Saône";"Rue De L'Ecole";"Public"
"Fallon";"Elem";"ce.0700378f@ac-besancon.fr";"70110";"Ecole primaire";"Haute-Saône";"Rue De L'Eglise";"Public"
"Saint-Rémy-en-Comté";"Elem";"ce.0700702h@ac-besancon.fr";"70160";"Ecole primaire";"Haute-Saône";"1 Place De L'Eglise";"Public"
"Vitrey-sur-Mance";"Elem";"ce.0700772j@ac-besancon.fr";"70500";"POLE EDUCATIF";"Haute-Saône";"Rue Charmois";"Public"
"Roye";"Elem";"ce.0700873u@ac-besancon.fr";"70200";"POLE EDUCATIF";"Haute-Saône";"41 Rue D'Héricourt";"Public"
"Raddon-et-Chapendu";"Elem";"ce.0700887j@ac-besancon.fr";"70280";"Ecole primaire";"Haute-Saône";"1 Allée Des Ecoles";"Public"
"Saint-Barthélemy";"Elem";"ce.0700937n@ac-besancon.fr";"70270";"POLE EDUCATIF";"Haute-Saône";"28 Route De Ronchamp";"Public"
"Saint-Loup-sur-Semouse";"Elem";"ce.0701118k@ac-besancon.fr";"70800";"Ecole primaire du Centre";"Haute-Saône";"16 Place Léon Jacquez";"Public"
"Aboncourt-Gesincourt";"Elem";"ce.0700085m@ac-besancon.fr";"70500";"POLE EDUCATIF";"Haute-Saône";"Grande Rue";"Public"
"Amoncourt";"Elem";"ce.0700105j@ac-besancon.fr";"70170";"Ecole primaire";"Haute-Saône";"10  Rue Des Piecottes";"Public"
"Fleurey-lès-Faverney";"Mater";"ce.0700391v@ac-besancon.fr";"70160";"Ecole maternelle";"Haute-Saône";"7 Place De La Mairie";"Public"
"Faverney";"Elem";"ce.0700869p@ac-besancon.fr";"70160";"POLE EDUCATIF";"Haute-Saône";"Rue Sadi Carnot";"Public"
"Orchamps-Vennes";"Elem";"ce.0251275a@ac-besancon.fr";"25390";"Ecole primaire privée Nicolas Busson";"Doubs";"16 Rue Du Couvent";"Privé"
"Roset-Fluans";"Elem";"ce.0250834w@ac-besancon.fr";"25410";"Ecole élémentaire Nelson Mandela";"Doubs";"4 Rue De La Liberté";"Public"
"Vuillafans";"Elem";"ce.0250982g@ac-besancon.fr";"25840";"Ecole primaire";"Doubs";"10 Route De Besancon";"Public"
"Lons-le-Saunier";"Mater";"ce.0391130s@ac-besancon.fr";"39000";"Ecole maternelle Richebourg";"Jura";"185 Rue Georges Pompidou";"Public"
"Cussey-sur-l'Ognon";"Elem";"ce.0250408h@ac-besancon.fr";"25870";"Ecole primaire Prosper Constant Chauvin";"Doubs";"Au Village";"Public"
"Devecey";"Elem";"ce.0250428e@ac-besancon.fr";"25870";"Ecole primaire";"Doubs";"2 Bis Route De Bonnay";"Public"
"Fournets-Luisans";"Elem";"ce.0250543e@ac-besancon.fr";"25390";"Ecole élémentaire";"Doubs";"3 Rue De L'Eglise, Les Fournets";"Public"
"Danjoutin";"Elem";"ce.0900354w@ac-besancon.fr";"90400";"Ecole primaire Saint-Exupéry";"Territoire de Belfort";"44 Rue Du Docteur Jacquot";"Public"
"Belfort";"Elem";"ce.0900365h@ac-besancon.fr";"90000";"Ecole primaire Victor Schoelcher";"Territoire de Belfort";"Rue Simone De Beauvoir";"Public"
"Arinthod";"Elem";"ce.0390142t@ac-besancon.fr";"39240";"Ecole élémentaire";"Jura";"6 Rue Du Collège";"Public"
"Champagnole";"Elem";"secretariat@centrescolairejeannedarc.fr";"39300";"Ecole primaire privée Jeanne d'Arc";"Jura";"10 Rue Du Sauget, Bp 114";"Privé"
"Lons-le-Saunier";"Elem";"ce.0390815z@ac-besancon.fr";"39000";"Ecole primaire Bernard Clavel";"Jura";"4 Rue Du Couchant";"Public"
"Chamblay";"Elem";"ce.0391239k@ac-besancon.fr";"39380";"ECOLE PRIMAIRE CHAMBLAY";"Jura";"3 Rue De L'Eglise";"Public"
"Frontenard";"Mater";"ce.0710551n@ac-dijon.fr";"71270";"Ecole maternelle";"Saône-et-Loire";"5 Rue De La Motte";"Public"
"Gergy";"Elem";"ce.0710887d@ac-dijon.fr";"71590";"Ecole primaire";"Saône-et-Loire";"3 Rue Loranchet";"Public"
"Dijon";"Mater";"ce.0210100v@ac-dijon.fr";"21000";"ECOLE MATERNELLE YORK";"Côte-d'Or";"39 Rue D'York";"Public"
"Dijon";"Mater";"ce.0210102x@ac-dijon.fr";"21000";"ECOLE MATERNELLE VICTOR HUGO";"Côte-d'Or";"4 Rue Raoul De Juigne";"Public"
"Dijon";"Mater";"ce.0210104z@ac-dijon.fr";"21000";"ECOLE MATERNELLE VALENDONS";"Côte-d'Or";"67 Rue Des Valendons";"Public"
"Dijon";"Mater";"ce.0210115l@ac-dijon.fr";"21000";"ECOLE MATERNELLE LARREY";"Côte-d'Or";"126 Boulevard Des Bourroches";"Public"
"Dijon";"Mater";"ce.0210117n@ac-dijon.fr";"21000";"ECOLE MATERNELLE PAULETTE LEVY";"Côte-d'Or";"1  Rue Du Docteur Tarnier";"Public"
"Dijon";"Mater";"ce.0210118p@ac-dijon.fr";"21000";"ECOLE MATERNELLE LA COLOMBIERE";"Côte-d'Or";"10  Avenue Jean-Baptiste Greuze";"Public"
"Dijon";"Mater";"ce.0210119r@ac-dijon.fr";"21000";"Ecole maternelle Camille Flammarion";"Côte-d'Or";"21 Rue D'Alembert";"Public"
"Dijon";"Mater";"ce.0210121t@ac-dijon.fr";"21000";"ECOLE MATERNELLE DRAPEAU";"Côte-d'Or";"67 Avenue Du Drapeau";"Public"
"Dijon";"Mater";"ce.0210122u@ac-dijon.fr";"21000";"ECOLE MATERNELLE D'APPLICATION DEVOSGE";"Côte-d'Or";"67 Rue Devosge";"Public"
"Neuilly-Crimolois";"Elem";"ce.0210203g@ac-dijon.fr";"21800";"ECOLE PRIMAIRE PUBLIQUE";"Côte-d'Or";"4 Rue De La République";"Public"
"Créancey";"Elem";"ce.0210206k@ac-dijon.fr";"21320";"ECOLE ELEMENTAIRE PUBLIQUE R.P.I.";"Côte-d'Or";"Rue Du Pasquier";"Public"
"Cléry";"Elem";"ce.0210237u@ac-dijon.fr";"21270";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"Rue De La Fontaine";"Public"
"Clénay";"Elem";"ce.0210238v@ac-dijon.fr";"21490";"ECOLE ELEMENTAIRE PUBLIQUE";"Côte-d'Or";"25 Grande Rue";"Public"
"Chamesson";"Mater";"ce.0210287y@ac-dijon.fr";"21400";"ECOLE MATERNELLE PUBLIQUE      R.P.I.";"Côte-d'Or";"Place De L'Eglise";"Public"
"Chaignay";"Elem";"ce.0210833s@ac-dijon.fr";"21120";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"3 Rue Du Puits Dessous";"Public"
"Brion-sur-Ource";"Elem";"ce.0210314c@ac-dijon.fr";"21570";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"1 Rue De L Eglise";"Public"
"Bligny-lès-Beaune";"Elem";"ce.0210337c@ac-dijon.fr";"21200";"ECOLE PRIMAIRE PUBLIQUE        JEAN DES VIGNES";"Côte-d'Or";"Rue De La Champagne";"Public"
"Bèze";"Elem";"ce.0210351t@ac-dijon.fr";"21310";"ECOLE PRIMAIRE PUBLIQUE";"Côte-d'Or";"Rue De L'Encloître";"Public"
"Bessey-lès-Cîteaux";"Elem";"ce.0210355x@ac-dijon.fr";"21110";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"3 Rue Du Grand Commun";"Public"
"Auxonne";"Mater";"ce.0210397t@ac-dijon.fr";"21130";"ECOLE MATERNELLE MALMANCHE";"Côte-d'Or";"10  Rue Victor Plaizant";"Public"
"Ancey";"Elem";"ce.0210426z@ac-dijon.fr";"21410";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"1 Rue D'Amont";"Public"
"Allerey";"Elem";"ce.0210431e@ac-dijon.fr";"21230";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"Place De L'Eglise";"Public"
"Villers-la-Faye";"Elem";"ce.0210465s@ac-dijon.fr";"21700";"ECOLE ELEMENTAIRE PUBLIQUE     HAUTES COTES";"Côte-d'Or";"60 Route  De Marey";"Public"
"Toutry";"Elem";"ce.0210524f@ac-dijon.fr";"21460";"ECOLE ELEMENTAIRE PUBLIQUE     LE CHAMAIS";"Côte-d'Or";"Route Du Vieux Château";"Public"
"Savigny-le-Sec";"Elem";"ce.0210579r@ac-dijon.fr";"21380";"ECOLE ELEMENTAIRE PUBLIQUE";"Côte-d'Or";"3 Place De La Mairie";"Public"
"Saulieu";"Elem";"ce.0210592e@ac-dijon.fr";"21210";"ECOLE ELEMENTAIRE PUBLIQUE";"Côte-d'Or";"6 Rue De L'Etang";"Public"
"Salives";"Elem";"ce.0210600n@ac-dijon.fr";"21580";"ECOLE PRIMAIRE PUBLIQUE        R.P.I.";"Côte-d'Or";"Rue Breuil";"Public"
"Saint-Thibault";"Elem";"ce.0210605u@ac-dijon.fr";"21350";"RPI DE L'AUXOIS";"Côte-d'Or";"Place De L'Eglise";"Public"
"La Rochepot";"Elem";"ce.0210667l@ac-dijon.fr";"21340";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"Rue Saint Georges";"Public"
"Longeault-Pluvault";"Elem";"ce.0210716p@ac-dijon.fr";"21110";"ECOLE ELEMENTAIRE PUBLIQUE R.P.I.";"Côte-d'Or";"8 Rue Du Chanoine Laboureau, Pluvault";"Public"
"Pasques";"Elem";"ce.0210728c@ac-dijon.fr";"21370";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"1 Place De L'Ormeau";"Public"
"Nuits-Saint-Georges";"Elem";"ce.0210741s@ac-dijon.fr";"21700";"ECOLE ELEMENTAIRE PUBLIQUE     MARIE MAIGNOT";"Côte-d'Or";"1  Place Marie Maignot, Bp 134";"Public"
"Norges-la-Ville";"Elem";"ce.0210743u@ac-dijon.fr";"21490";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"1 Rue De Bretigny";"Public"
"Nolay";"Mater";"ce.0210744v@ac-dijon.fr";"21340";"ECOLE MATERNELLE";"Côte-d'Or";"60 Rue Grange Champion";"Public"
"Monthelie";"Elem";"ce.0210784n@ac-dijon.fr";"21190";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"Place De La Mairie";"Public"
"Meursanges";"Elem";"ce.0210815x@ac-dijon.fr";"21200";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"Grande Rue";"Public"
"Meloisey";"Elem";"ce.0210825h@ac-dijon.fr";"21190";"ECOLE ELEMENTAIRE PUBLIQUE R.P.I.";"Côte-d'Or";"Rue Du Puits Bouret";"Public"
"Marey-sur-Tille";"Elem";"ce.0210842b@ac-dijon.fr";"21120";"ECOLE ELEMENTAIRE PUBLIQUE     R.P.I.";"Côte-d'Or";"Rue De Varoux";"Public"
"Marcilly-Ogny";"Mater";"ce.0210845e@ac-dijon.fr";"21320";"ECOLE PRIMAIRE";"Côte-d'Or";"Village, Grande Cour";"Public"
"Manlay";"Elem";"ce.0210849j@ac-dijon.fr";"21430";"ECOLE ELEMENTAIRE PUBLIQUE";"Côte-d'Or";"Village";"Public"
"Mâlain";"Elem";"ce.0210852m@ac-dijon.fr";"21410";"ECOLE ELEMENTAIRE PUBLIQUE     PARIZON";"Côte-d'Or";"38 Rue Maurice Béné";"Public"
"Is-sur-Tille";"Mater";"ce.0210925s@ac-dijon.fr";"21120";"ECOLE MATERNELLE MATISSE";"Côte-d'Or";"4 Rue Anatole France";"Public"
"Hauteville-lès-Dijon";"Elem";"ce.0210929w@ac-dijon.fr";"21121";"ECOLE ELEMENTAIRE PUBLIQUE";"Côte-d'Or";"Rue De La Cognée";"Public"
"Esbarres";"Elem";"ce.0211001z@ac-dijon.fr";"21170";"ECOLE ELEMENTAIRE PUBLIQUE";"Côte-d'Or";"Rue Du Souvenir Français";"Public"
"Echenon";"Elem";"ce.0211012l@ac-dijon.fr";"21170";"ECOLE PRIMAIRE PUBLIQUE";"Côte-d'Or";"Rue Du Port Bernard";"Public"
"Fontaine-lès-Dijon";"Mater";"ce.0211039r@ac-dijon.fr";"21121";"ECOLE MATERNELLE LES SAVERNEY";"Côte-d'Or";"24 Rue Des Saverney";"Public"
